Train: epoch-0 (200/7410)	batch_time 0.25		data_time 0.14		loss 3.310	prec@1 6.91	prec@5 23.78	
Train: epoch-0 (400/7410)	batch_time 0.11		data_time 0.01		loss 3.081	prec@1 11.47	prec@5 38.56	
Train: epoch-0 (600/7410)	batch_time 0.11		data_time 0.01		loss 2.813	prec@1 18.69	prec@5 52.78	
Train: epoch-0 (800/7410)	batch_time 0.11		data_time 0.01		loss 2.567	prec@1 24.97	prec@5 61.09	
Train: epoch-0 (1000/7410)	batch_time 0.11		data_time 0.01		loss 2.419	prec@1 28.12	prec@5 65.19	
Train: epoch-0 (1200/7410)	batch_time 0.11		data_time 0.01		loss 2.270	prec@1 31.94	prec@5 70.59	
Train: epoch-0 (1400/7410)	batch_time 0.11		data_time 0.01		loss 2.231	prec@1 33.41	prec@5 70.19	
Train: epoch-0 (1600/7410)	batch_time 0.11		data_time 0.01		loss 2.110	prec@1 36.44	prec@5 73.50	
Train: epoch-0 (1800/7410)	batch_time 0.11		data_time 0.01		loss 2.057	prec@1 38.81	prec@5 74.91	
Train: epoch-0 (2000/7410)	batch_time 0.11		data_time 0.01		loss 2.039	prec@1 37.41	prec@5 75.25	
Train: epoch-0 (2200/7410)	batch_time 0.11		data_time 0.01		loss 1.959	prec@1 38.72	prec@5 77.00	
Train: epoch-0 (2400/7410)	batch_time 0.11		data_time 0.01		loss 1.940	prec@1 40.16	prec@5 75.69	
Train: epoch-0 (2600/7410)	batch_time 0.11		data_time 0.01		loss 1.928	prec@1 40.66	prec@5 77.34	
Train: epoch-0 (2800/7410)	batch_time 0.11		data_time 0.01		loss 1.869	prec@1 41.75	prec@5 77.81	
Train: epoch-0 (3000/7410)	batch_time 0.11		data_time 0.01		loss 1.872	prec@1 40.97	prec@5 78.34	
Train: epoch-0 (3200/7410)	batch_time 0.11		data_time 0.01		loss 1.810	prec@1 43.16	prec@5 79.25	
Train: epoch-0 (3400/7410)	batch_time 0.11		data_time 0.01		loss 1.851	prec@1 42.50	prec@5 78.22	
Train: epoch-0 (3600/7410)	batch_time 0.11		data_time 0.01		loss 1.759	prec@1 44.81	prec@5 80.38	
Train: epoch-0 (3800/7410)	batch_time 0.11		data_time 0.01		loss 1.760	prec@1 44.44	prec@5 79.75	
Train: epoch-0 (4000/7410)	batch_time 0.11		data_time 0.01		loss 1.705	prec@1 47.19	prec@5 81.59	
Train: epoch-0 (4200/7410)	batch_time 0.11		data_time 0.01		loss 1.764	prec@1 44.81	prec@5 79.53	
Train: epoch-0 (4400/7410)	batch_time 0.11		data_time 0.01		loss 1.718	prec@1 46.81	prec@5 81.50	
Train: epoch-0 (4600/7410)	batch_time 0.11		data_time 0.01		loss 1.716	prec@1 45.47	prec@5 80.56	
Train: epoch-0 (4800/7410)	batch_time 0.11		data_time 0.01		loss 1.710	prec@1 46.31	prec@5 80.09	
Train: epoch-0 (5000/7410)	batch_time 0.11		data_time 0.01		loss 1.647	prec@1 46.84	prec@5 81.94	
Train: epoch-0 (5200/7410)	batch_time 0.11		data_time 0.01		loss 1.680	prec@1 46.47	prec@5 80.75	
Train: epoch-0 (5400/7410)	batch_time 0.11		data_time 0.01		loss 1.606	prec@1 47.97	prec@5 83.12	
Train: epoch-0 (5600/7410)	batch_time 0.11		data_time 0.01		loss 1.682	prec@1 46.03	prec@5 81.50	
Train: epoch-0 (5800/7410)	batch_time 0.11		data_time 0.01		loss 1.628	prec@1 48.66	prec@5 81.19	
Train: epoch-0 (6000/7410)	batch_time 0.11		data_time 0.01		loss 1.617	prec@1 47.19	prec@5 81.97	
Train: epoch-0 (6200/7410)	batch_time 0.11		data_time 0.01		loss 1.621	prec@1 47.62	prec@5 82.16	
Train: epoch-0 (6400/7410)	batch_time 0.08		data_time 0.01		loss 1.609	prec@1 48.91	prec@5 83.00	
Train: epoch-0 (6600/7410)	batch_time 0.11		data_time 0.02		loss 1.631	prec@1 47.94	prec@5 81.84	
Train: epoch-0 (6800/7410)	batch_time 0.12		data_time 0.02		loss 1.599	prec@1 48.97	prec@5 82.72	
Train: epoch-0 (7000/7410)	batch_time 0.12		data_time 0.02		loss 1.634	prec@1 48.66	prec@5 81.78	
Train: epoch-0 (7200/7410)	batch_time 0.10		data_time 0.01		loss 1.570	prec@1 49.16	prec@5 83.53	
Train: epoch-0 (7400/7410)	batch_time 0.09		data_time 0.01		loss 1.564	prec@1 51.06	prec@5 82.34	
Validate: Prec@1 57.35 Validate: Prec@5 91.33  Loss 1.268
Best Prec@1: 57.35

Train: epoch-1 (200/7410)	batch_time 0.23		data_time 0.13		loss 1.571	prec@1 50.41	prec@5 82.41	
Train: epoch-1 (400/7410)	batch_time 0.11		data_time 0.01		loss 1.547	prec@1 51.25	prec@5 83.22	
Train: epoch-1 (600/7410)	batch_time 0.11		data_time 0.02		loss 1.614	prec@1 48.53	prec@5 82.25	
Train: epoch-1 (800/7410)	batch_time 0.11		data_time 0.01		loss 1.556	prec@1 51.03	prec@5 82.75	
