Train: epoch-0 (200/7410)	batch_time 0.19		data_time 0.12		loss 3.316	prec@1 7.81	
Train: epoch-0 (400/7410)	batch_time 0.08		data_time 0.01		loss 3.064	prec@1 13.84	
Train: epoch-0 (600/7410)	batch_time 0.08		data_time 0.01		loss 2.721	prec@1 21.22	
Train: epoch-0 (800/7410)	batch_time 0.09		data_time 0.01		loss 2.533	prec@1 24.84	
Train: epoch-0 (1000/7410)	batch_time 0.09		data_time 0.01		loss 2.292	prec@1 29.84	
Train: epoch-0 (1200/7410)	batch_time 0.08		data_time 0.01		loss 2.092	prec@1 35.16	
Train: epoch-0 (1400/7410)	batch_time 0.09		data_time 0.01		loss 1.896	prec@1 40.81	
Train: epoch-0 (1600/7410)	batch_time 0.09		data_time 0.01		loss 1.863	prec@1 42.91	
Train: epoch-0 (1800/7410)	batch_time 0.09		data_time 0.01		loss 1.750	prec@1 47.84	
Train: epoch-0 (2000/7410)	batch_time 0.08		data_time 0.01		loss 1.637	prec@1 50.28	
Train: epoch-0 (2200/7410)	batch_time 0.08		data_time 0.01		loss 1.579	prec@1 52.81	
Train: epoch-0 (2400/7410)	batch_time 0.08		data_time 0.01		loss 1.492	prec@1 54.75	
Train: epoch-0 (2600/7410)	batch_time 0.09		data_time 0.01		loss 1.461	prec@1 55.81	
Train: epoch-0 (2800/7410)	batch_time 0.08		data_time 0.01		loss 1.408	prec@1 57.31	
Train: epoch-0 (3000/7410)	batch_time 0.09		data_time 0.01		loss 1.346	prec@1 59.47	
Train: epoch-0 (3200/7410)	batch_time 0.08		data_time 0.01		loss 1.335	prec@1 58.94	
Train: epoch-0 (3400/7410)	batch_time 0.08		data_time 0.01		loss 1.337	prec@1 58.41	
Train: epoch-0 (3600/7410)	batch_time 0.08		data_time 0.01		loss 1.280	prec@1 61.25	
Train: epoch-0 (3800/7410)	batch_time 0.08		data_time 0.01		loss 1.271	prec@1 62.03	
Train: epoch-0 (4000/7410)	batch_time 0.08		data_time 0.01		loss 1.269	prec@1 62.09	
