Train: epoch-0 (200/7410)	batch_time 0.22		data_time 0.14		loss 3.284	prec@1 8.06	prec@5 25.59	
Train: epoch-0 (400/7410)	batch_time 0.08		data_time 0.01		loss 3.154	prec@1 10.41	prec@5 33.50	
Train: epoch-0 (600/7410)	batch_time 0.09		data_time 0.01		loss 2.821	prec@1 19.59	prec@5 50.34	
Train: epoch-0 (800/7410)	batch_time 0.08		data_time 0.01		loss 2.408	prec@1 27.84	prec@5 65.91	
Train: epoch-0 (1000/7410)	batch_time 0.09		data_time 0.01		loss 2.218	prec@1 32.09	prec@5 70.34	
Train: epoch-0 (1200/7410)	batch_time 0.09		data_time 0.01		loss 2.032	prec@1 38.44	prec@5 76.09	
Train: epoch-0 (1400/7410)	batch_time 0.09		data_time 0.01		loss 1.868	prec@1 43.03	prec@5 78.81	
Train: epoch-0 (1600/7410)	batch_time 0.09		data_time 0.01		loss 1.731	prec@1 47.00	prec@5 81.59	
Train: epoch-0 (1800/7410)	batch_time 0.10		data_time 0.01		loss 1.620	prec@1 50.41	prec@5 83.53	
Train: epoch-0 (2000/7410)	batch_time 0.11		data_time 0.01		loss 1.572	prec@1 52.50	prec@5 83.41	
Train: epoch-0 (2200/7410)	batch_time 0.12		data_time 0.01		loss 1.463	prec@1 55.25	prec@5 84.31	
Train: epoch-0 (2400/7410)	batch_time 0.08		data_time 0.01		loss 1.445	prec@1 55.72	prec@5 85.00	
Train: epoch-0 (2600/7410)	batch_time 0.09		data_time 0.01		loss 1.426	prec@1 57.84	prec@5 84.44	
Train: epoch-0 (2800/7410)	batch_time 0.08		data_time 0.01		loss 1.372	prec@1 58.81	prec@5 85.50	
Train: epoch-0 (3000/7410)	batch_time 0.08		data_time 0.01		loss 1.318	prec@1 60.69	prec@5 86.41	
Train: epoch-0 (3200/7410)	batch_time 0.10		data_time 0.01		loss 1.307	prec@1 60.78	prec@5 86.03	
Train: epoch-0 (3400/7410)	batch_time 0.11		data_time 0.01		loss 1.277	prec@1 61.56	prec@5 86.84	
Train: epoch-0 (3600/7410)	batch_time 0.11		data_time 0.01		loss 1.254	prec@1 61.97	prec@5 87.06	
Train: epoch-0 (3800/7410)	batch_time 0.11		data_time 0.01		loss 1.224	prec@1 61.97	prec@5 87.81	
Train: epoch-0 (4000/7410)	batch_time 0.11		data_time 0.01		loss 1.216	prec@1 63.22	prec@5 87.66	
Train: epoch-0 (4200/7410)	batch_time 0.12		data_time 0.01		loss 1.233	prec@1 63.31	prec@5 87.31	
Train: epoch-0 (4400/7410)	batch_time 0.12		data_time 0.01		loss 1.202	prec@1 64.00	prec@5 88.06	
Train: epoch-0 (4600/7410)	batch_time 0.12		data_time 0.01		loss 1.164	prec@1 65.59	prec@5 88.16	
Train: epoch-0 (4800/7410)	batch_time 0.12		data_time 0.02		loss 1.174	prec@1 64.81	prec@5 88.38	
Train: epoch-0 (5000/7410)	batch_time 0.11		data_time 0.01		loss 1.178	prec@1 64.81	prec@5 87.66	
Train: epoch-0 (5200/7410)	batch_time 0.12		data_time 0.01		loss 1.128	prec@1 64.91	prec@5 89.59	
Train: epoch-0 (5400/7410)	batch_time 0.12		data_time 0.01		loss 1.135	prec@1 65.97	prec@5 88.31	
Train: epoch-0 (5600/7410)	batch_time 0.11		data_time 0.01		loss 1.119	prec@1 65.81	prec@5 88.75	
Train: epoch-0 (5800/7410)	batch_time 0.12		data_time 0.01		loss 1.099	prec@1 67.44	prec@5 88.38	
Train: epoch-0 (6000/7410)	batch_time 0.11		data_time 0.01		loss 1.093	prec@1 66.78	prec@5 88.62	
Train: epoch-0 (6200/7410)	batch_time 0.11		data_time 0.01		loss 1.036	prec@1 68.62	prec@5 89.28	
Train: epoch-0 (6400/7410)	batch_time 0.11		data_time 0.01		loss 1.077	prec@1 66.53	prec@5 88.59	
Train: epoch-0 (6600/7410)	batch_time 0.11		data_time 0.01		loss 1.077	prec@1 67.28	prec@5 89.16	
Train: epoch-0 (6800/7410)	batch_time 0.11		data_time 0.01		loss 1.087	prec@1 67.03	prec@5 88.88	
Train: epoch-0 (7000/7410)	batch_time 0.11		data_time 0.01		loss 1.018	prec@1 69.09	prec@5 89.78	
Train: epoch-0 (7200/7410)	batch_time 0.11		data_time 0.01		loss 0.996	prec@1 70.06	prec@5 89.81	
Train: epoch-0 (7400/7410)	batch_time 0.11		data_time 0.01		loss 1.034	prec@1 69.19	prec@5 89.41	
Validate: Prec@1 82.81 Validate: Prec@5 97.88  Loss 0.560
Best Prec@1: 82.81

Train: epoch-1 (200/7410)	batch_time 0.23		data_time 0.13		loss 1.031	prec@1 68.81	prec@5 89.91	
Train: epoch-1 (400/7410)	batch_time 0.11		data_time 0.01		loss 1.014	prec@1 69.06	prec@5 89.56	
Train: epoch-1 (600/7410)	batch_time 0.11		data_time 0.01		loss 0.980	prec@1 69.81	prec@5 89.75	
Train: epoch-1 (800/7410)	batch_time 0.11		data_time 0.01		loss 0.960	prec@1 71.09	prec@5 90.41	
Train: epoch-1 (1000/7410)	batch_time 0.11		data_time 0.01		loss 1.044	prec@1 68.84	prec@5 89.66	
Train: epoch-1 (1200/7410)	batch_time 0.11		data_time 0.01		loss 1.003	prec@1 69.25	prec@5 89.47	
Train: epoch-1 (1400/7410)	batch_time 0.11		data_time 0.01		loss 0.976	prec@1 70.91	prec@5 90.34	
Train: epoch-1 (1600/7410)	batch_time 0.11		data_time 0.01		loss 0.974	prec@1 70.91	prec@5 89.59	
Train: epoch-1 (1800/7410)	batch_time 0.11		data_time 0.01		loss 0.961	prec@1 70.53	prec@5 91.03	
Train: epoch-1 (2000/7410)	batch_time 0.11		data_time 0.01		loss 0.944	prec@1 71.88	prec@5 90.38	
Train: epoch-1 (2200/7410)	batch_time 0.11		data_time 0.01		loss 0.929	prec@1 72.12	prec@5 91.28	
Train: epoch-1 (2400/7410)	batch_time 0.11		data_time 0.01		loss 0.957	prec@1 71.12	prec@5 90.50	
Train: epoch-1 (2600/7410)	batch_time 0.11		data_time 0.01		loss 0.936	prec@1 71.47	prec@5 91.12	
Train: epoch-1 (2800/7410)	batch_time 0.11		data_time 0.01		loss 0.956	prec@1 70.44	prec@5 90.25	
Train: epoch-1 (3000/7410)	batch_time 0.11		data_time 0.01		loss 0.919	prec@1 72.00	prec@5 91.06	
Train: epoch-1 (3200/7410)	batch_time 0.11		data_time 0.01		loss 0.958	prec@1 71.12	prec@5 90.84	
Train: epoch-1 (3400/7410)	batch_time 0.11		data_time 0.01		loss 0.929	prec@1 71.94	prec@5 90.41	
Train: epoch-1 (3600/7410)	batch_time 0.11		data_time 0.01		loss 0.931	prec@1 72.00	prec@5 89.94	
Train: epoch-1 (3800/7410)	batch_time 0.10		data_time 0.01		loss 0.986	prec@1 69.56	prec@5 90.47	
Train: epoch-1 (4000/7410)	batch_time 0.09		data_time 0.01		loss 0.976	prec@1 70.91	prec@5 90.03	
Train: epoch-1 (4200/7410)	batch_time 0.12		data_time 0.01		loss 0.943	prec@1 72.00	prec@5 90.16	
Train: epoch-1 (4400/7410)	batch_time 0.12		data_time 0.02		loss 0.892	prec@1 72.97	prec@5 91.56	
Train: epoch-1 (4600/7410)	batch_time 0.12		data_time 0.02		loss 0.921	prec@1 72.00	prec@5 90.31	
Train: epoch-1 (4800/7410)	batch_time 0.10		data_time 0.01		loss 0.917	prec@1 72.75	prec@5 91.19	
Train: epoch-1 (5000/7410)	batch_time 0.10		data_time 0.01		loss 0.936	prec@1 71.28	prec@5 90.47	
Train: epoch-1 (5200/7410)	batch_time 0.11		data_time 0.01		loss 0.907	prec@1 72.81	prec@5 91.72	
Train: epoch-1 (5400/7410)	batch_time 0.11		data_time 0.01		loss 0.897	prec@1 72.72	prec@5 91.50	
Train: epoch-1 (5600/7410)	batch_time 0.11		data_time 0.01		loss 0.921	prec@1 72.31	prec@5 90.72	
Train: epoch-1 (5800/7410)	batch_time 0.11		data_time 0.01		loss 0.898	prec@1 73.16	prec@5 91.09	
Train: epoch-1 (6000/7410)	batch_time 0.11		data_time 0.01		loss 0.899	prec@1 73.19	prec@5 91.44	
Train: epoch-1 (6200/7410)	batch_time 0.11		data_time 0.01		loss 0.901	prec@1 73.47	prec@5 90.91	
Train: epoch-1 (6400/7410)	batch_time 0.11		data_time 0.01		loss 0.926	prec@1 72.25	prec@5 90.41	
