Train: epoch-0 (200/7410)	batch_time 0.19		data_time 0.11		loss 3.326	prec@1 6.28	prec@5 25.00	
Train: epoch-0 (400/7410)	batch_time 0.08		data_time 0.01		loss 3.043	prec@1 12.25	prec@5 40.44	
Train: epoch-0 (600/7410)	batch_time 0.09		data_time 0.01		loss 2.719	prec@1 21.16	prec@5 54.19	
Train: epoch-0 (800/7410)	batch_time 0.08		data_time 0.01		loss 2.414	prec@1 28.59	prec@5 66.34	
Train: epoch-0 (1000/7410)	batch_time 0.08		data_time 0.01		loss 2.148	prec@1 35.12	prec@5 72.00	
Train: epoch-0 (1200/7410)	batch_time 0.08		data_time 0.01		loss 1.922	prec@1 40.56	prec@5 77.47	
Train: epoch-0 (1400/7410)	batch_time 0.08		data_time 0.01		loss 1.843	prec@1 43.56	prec@5 78.94	
Train: epoch-0 (1600/7410)	batch_time 0.08		data_time 0.01		loss 1.720	prec@1 47.69	prec@5 81.31	
Train: epoch-0 (1800/7410)	batch_time 0.08		data_time 0.01		loss 1.667	prec@1 49.59	prec@5 81.50	
Train: epoch-0 (2000/7410)	batch_time 0.08		data_time 0.01		loss 1.582	prec@1 52.44	prec@5 83.47	
Train: epoch-0 (2200/7410)	batch_time 0.08		data_time 0.01		loss 1.501	prec@1 53.22	prec@5 84.19	
Train: epoch-0 (2400/7410)	batch_time 0.08		data_time 0.01		loss 1.522	prec@1 53.94	prec@5 83.31	
Train: epoch-0 (2600/7410)	batch_time 0.08		data_time 0.01		loss 1.432	prec@1 56.47	prec@5 84.16	
Train: epoch-0 (2800/7410)	batch_time 0.08		data_time 0.01		loss 1.393	prec@1 57.84	prec@5 85.66	
Train: epoch-0 (3000/7410)	batch_time 0.08		data_time 0.01		loss 1.395	prec@1 57.91	prec@5 85.31	
Train: epoch-0 (3200/7410)	batch_time 0.08		data_time 0.01		loss 1.345	prec@1 59.44	prec@5 85.72	
Train: epoch-0 (3400/7410)	batch_time 0.08		data_time 0.01		loss 1.364	prec@1 58.03	prec@5 84.75	
Train: epoch-0 (3600/7410)	batch_time 0.09		data_time 0.01		loss 1.308	prec@1 61.22	prec@5 86.09	
Train: epoch-0 (3800/7410)	batch_time 0.08		data_time 0.01		loss 1.310	prec@1 60.44	prec@5 85.72	
Train: epoch-0 (4000/7410)	batch_time 0.09		data_time 0.01		loss 1.302	prec@1 60.44	prec@5 86.66	
Train: epoch-0 (4200/7410)	batch_time 0.08		data_time 0.01		loss 1.316	prec@1 60.78	prec@5 86.47	
Train: epoch-0 (4400/7410)	batch_time 0.08		data_time 0.01		loss 1.222	prec@1 62.25	prec@5 87.34	
Train: epoch-0 (4600/7410)	batch_time 0.08		data_time 0.01		loss 1.223	prec@1 62.50	prec@5 87.56	
Train: epoch-0 (4800/7410)	batch_time 0.08		data_time 0.01		loss 1.245	prec@1 62.56	prec@5 87.22	
Train: epoch-0 (5000/7410)	batch_time 0.09		data_time 0.01		loss 1.211	prec@1 62.84	prec@5 87.56	
Train: epoch-0 (5200/7410)	batch_time 0.09		data_time 0.01		loss 1.142	prec@1 64.94	prec@5 89.31	
Train: epoch-0 (5400/7410)	batch_time 0.08		data_time 0.01		loss 1.195	prec@1 63.28	prec@5 87.53	
Train: epoch-0 (5600/7410)	batch_time 0.08		data_time 0.01		loss 1.191	prec@1 64.03	prec@5 88.44	
Train: epoch-0 (5800/7410)	batch_time 0.08		data_time 0.01		loss 1.172	prec@1 63.97	prec@5 87.94	
Train: epoch-0 (6000/7410)	batch_time 0.08		data_time 0.01		loss 1.171	prec@1 64.50	prec@5 88.31	
Train: epoch-0 (6200/7410)	batch_time 0.08		data_time 0.01		loss 1.091	prec@1 66.34	prec@5 89.09	
Train: epoch-0 (6400/7410)	batch_time 0.08		data_time 0.01		loss 1.148	prec@1 65.12	prec@5 88.41	
Train: epoch-0 (6600/7410)	batch_time 0.08		data_time 0.01		loss 1.166	prec@1 64.78	prec@5 87.81	
Train: epoch-0 (6800/7410)	batch_time 0.08		data_time 0.01		loss 1.079	prec@1 67.22	prec@5 89.25	
Train: epoch-0 (7000/7410)	batch_time 0.08		data_time 0.01		loss 1.043	prec@1 66.94	prec@5 90.38	
Train: epoch-0 (7200/7410)	batch_time 0.08		data_time 0.01		loss 1.113	prec@1 65.75	prec@5 89.06	
Train: epoch-0 (7400/7410)	batch_time 0.08		data_time 0.01		loss 1.021	prec@1 68.34	prec@5 89.81	
Validate: Prec@1 80.85 Validate: Prec@5 97.88  Loss 0.593
Best Prec@1: 80.85

Train: epoch-1 (200/7410)	batch_time 0.23		data_time 0.16		loss 1.074	prec@1 67.22	prec@5 89.22	
Train: epoch-1 (400/7410)	batch_time 0.08		data_time 0.01		loss 1.082	prec@1 66.41	prec@5 89.75	
Train: epoch-1 (600/7410)	batch_time 0.08		data_time 0.01		loss 1.034	prec@1 67.81	prec@5 89.94	
Train: epoch-1 (800/7410)	batch_time 0.08		data_time 0.01		loss 1.071	prec@1 66.25	prec@5 89.62	
Train: epoch-1 (1000/7410)	batch_time 0.08		data_time 0.01		loss 1.043	prec@1 67.22	prec@5 89.94	
Train: epoch-1 (1200/7410)	batch_time 0.08		data_time 0.01		loss 1.061	prec@1 67.16	prec@5 89.28	
Train: epoch-1 (1400/7410)	batch_time 0.08		data_time 0.01		loss 1.027	prec@1 68.47	prec@5 89.72	
Train: epoch-1 (1600/7410)	batch_time 0.08		data_time 0.01		loss 1.014	prec@1 69.06	prec@5 90.16	
Train: epoch-1 (1800/7410)	batch_time 0.08		data_time 0.01		loss 1.035	prec@1 67.84	prec@5 90.19	
Train: epoch-1 (2000/7410)	batch_time 0.08		data_time 0.01		loss 1.053	prec@1 67.59	prec@5 89.81	
Train: epoch-1 (2200/7410)	batch_time 0.08		data_time 0.01		loss 1.023	prec@1 68.50	prec@5 89.97	
Train: epoch-1 (2400/7410)	batch_time 0.08		data_time 0.01		loss 1.035	prec@1 68.56	prec@5 89.66	
Train: epoch-1 (2600/7410)	batch_time 0.08		data_time 0.01		loss 1.019	prec@1 68.53	prec@5 90.09	
Train: epoch-1 (2800/7410)	batch_time 0.08		data_time 0.01		loss 1.005	prec@1 68.12	prec@5 89.94	
Train: epoch-1 (3000/7410)	batch_time 0.09		data_time 0.01		loss 0.986	prec@1 69.59	prec@5 90.59	
Train: epoch-1 (3200/7410)	batch_time 0.08		data_time 0.01		loss 1.010	prec@1 69.28	prec@5 90.47	
Train: epoch-1 (3400/7410)	batch_time 0.08		data_time 0.01		loss 1.009	prec@1 68.75	prec@5 90.31	
Train: epoch-1 (3600/7410)	batch_time 0.08		data_time 0.01		loss 1.006	prec@1 69.44	prec@5 89.62	
Train: epoch-1 (3800/7410)	batch_time 0.08		data_time 0.01		loss 0.986	prec@1 69.31	prec@5 90.59	
Train: epoch-1 (4000/7410)	batch_time 0.08		data_time 0.01		loss 0.958	prec@1 70.22	prec@5 90.78	
Train: epoch-1 (4200/7410)	batch_time 0.08		data_time 0.01		loss 0.985	prec@1 69.34	prec@5 89.72	
Train: epoch-1 (4400/7410)	batch_time 0.08		data_time 0.01		loss 1.015	prec@1 69.16	prec@5 89.94	
Train: epoch-1 (4600/7410)	batch_time 0.09		data_time 0.01		loss 0.969	prec@1 70.06	prec@5 90.66	
Train: epoch-1 (4800/7410)	batch_time 0.08		data_time 0.01		loss 0.973	prec@1 70.16	prec@5 90.03	
Train: epoch-1 (5000/7410)	batch_time 0.09		data_time 0.01		loss 0.985	prec@1 69.69	prec@5 90.28	
Train: epoch-1 (5200/7410)	batch_time 0.08		data_time 0.01		loss 0.931	prec@1 71.31	prec@5 91.50	
Train: epoch-1 (5400/7410)	batch_time 0.08		data_time 0.01		loss 0.926	prec@1 71.31	prec@5 91.38	
Train: epoch-1 (5600/7410)	batch_time 0.08		data_time 0.01		loss 0.937	prec@1 70.69	prec@5 90.88	
Train: epoch-1 (5800/7410)	batch_time 0.08		data_time 0.01		loss 0.890	prec@1 72.19	prec@5 91.25	
Train: epoch-1 (6000/7410)	batch_time 0.08		data_time 0.01		loss 0.950	prec@1 71.25	prec@5 90.41	
Train: epoch-1 (6200/7410)	batch_time 0.08		data_time 0.01		loss 0.948	prec@1 71.72	prec@5 90.28	
Train: epoch-1 (6400/7410)	batch_time 0.08		data_time 0.01		loss 0.910	prec@1 71.75	prec@5 91.28	
Train: epoch-1 (6600/7410)	batch_time 0.09		data_time 0.01		loss 0.927	prec@1 71.06	prec@5 90.41	
Train: epoch-1 (6800/7410)	batch_time 0.08		data_time 0.01		loss 0.924	prec@1 70.94	prec@5 91.84	
Train: epoch-1 (7000/7410)	batch_time 0.08		data_time 0.01		loss 0.971	prec@1 69.44	prec@5 90.69	
Train: epoch-1 (7200/7410)	batch_time 0.08		data_time 0.01		loss 0.917	prec@1 71.78	prec@5 91.16	
